plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,54-SB01,54,01|03|05|07|09|11,23,454548_S039|4;454548_S040|2;454548_S041|2;454548_S042|1;454548_S044|2;454548_S117|1;454548_S118|7;454548_S121|4
small_six_bay_block,54-SB02,54,13|15|17|19|21|23,17,454548_S042|12;454548_S121|1;454548_S177|4
small_six_bay_block,54-SB03,54,25|27|29|31|33|35,31,454548_S011|31
small_six_bay_block,54-SB04,54,37|39|41|43|45|47,9,454548_S177|9
small_six_bay_block,54-SB05,54,49|51|53|55|57|59,36,454548_S042|33;454548_S044|3
small_six_bay_block,54-SB06,54,61|63|65|67|69|71,16,454548_S117|6;454548_S119|10
small_six_bay_block,55-SB01,55,01|03|05|07|09|11,9,453273_S237|2;453273_S260|3;453273_S263|4
small_six_bay_block,55-SB02,55,13|15|17|19|21|23,27,453273_S154|10;453273_S220|3;453273_S221|4;453273_S222|1;453273_S223|2;453273_S234|1;453273_S248|6
small_six_bay_block,55-SB04,55,37|39|41|43|45|47,4,453273_S248|4
small_six_bay_block,55-SB05,55,49|51|53|55|57|59,26,453273_S119|2;453273_S120|1;453273_S121|3;453273_S122|2;453273_S123|5;453273_S136|13
small_six_bay_block,55-SB06,55,61|63|65|67|69|71,34,453273_S144|1;453273_S145|1;453273_S146|2;453273_S147|10;453273_S215|1;453273_S216|4;453273_S217|1;453273_S218|1;453273_S219|7;453273_S248|6
small_six_bay_block,59-SB01,59,01|03|05|07|09|11,14,453308_S001|1;453396_S004|1;454447_S004|1;454447_S005|2;454585_S001|1;454585_S002|1;454585_S003|1;454585_S004|2;454585_S005|1;454585_S006|1;454585_S007|1;454585_S008|1
small_six_bay_block,59-SB02,59,13|15|17|19|21|23,8,453308_S012|1;453308_S013|2;454447_S002|1;454447_S003|1;454585_S028|1;454585_S029|1;454585_S030|1
small_six_bay_block,59-SB03,59,25|27|29|31|33|35,16,453308_S009|2;453308_S010|5;453308_S021|1;453308_S027|1;453308_S028|1;453308_S029|1;454585_S009|3;454585_S027|1;454585_S042|1
small_six_bay_block,59-SB04,59,37|39|41|43|45|47,9,453308_S018|4;453308_S019|1;453308_S020|1;453308_S022|3
small_six_bay_block,59-SB05,59,49|51|53|55|57|59,47,453308_S002|5;453308_S003|11;453308_S004|5;453308_S008|1;453308_S011|5;453308_S023|1;453308_S024|1;453308_S025|2;453308_S026|2;453308_S030|1;453308_S031|1;453308_S032|2;453308_S033|2;453308_S034|2;454585_S031|6
small_six_bay_block,5A-SB01,5A,01|03|05|07|09|11,46,453416_S020|10;453416_S022|2;453416_S024|2;453416_S025|2;453416_S029|12;453416_S042|1;453416_S048|3;453416_S049|14
small_six_bay_block,5A-SB02,5A,13|15|17|19|21|23,78,453416_S018|48;453416_S019|30
small_six_bay_block,5A-SB03,5A,25|27|29|31|33|35,52,453416_S020|5;453416_S021|13;453416_S022|26;453416_S023|8
