voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453334,OZ,12,40,1,1,0
453334,OZ,21,40,1,1,0
453334,OZ,30,40,1,1,0
453334,OZ,41,40,4,4,0
453334,OZ,51,40,3,3,0
453334,OZ,60,40,1,1,0
453334,OZ,61,40,2,2,0
453334,OZ,70,40,1,1,0
453334,OZ,71,40,2,2,0
453334,OZ,81,40,2,2,0
453334,OZ,13,40,2,2,0
453334,OZ,22,40,1,1,0
453334,OZ,24,40,1,1,0
453334,OZ,27,40,1,1,0
453334,OZ,32,40,1,1,0
453334,OZ,33,40,2,2,0
453334,OZ,42,40,1,1,0
453334,OZ,43,40,1,1,0
453334,OZ,45,40,1,1,0
453334,OZ,47,40,1,1,0
453334,OZ,62,40,3,3,0
453334,OZ,63,40,1,1,0
453334,OZ,65,40,1,1,0
453334,OZ,72,40,4,4,0
453334,OZ,82,40,5,5,0
453334,OZ,83,40,2,2,0
453334,OZ,94,40,1,1,0
453334,T,30,40,2,2,0
453334,T,31,40,3,3,0
453334,T,41,40,1,1,0
453334,T,51,40,1,1,0
453334,T,60,40,2,2,0
453334,T,71,40,1,1,0
453334,T,80,40,2,2,0
453334,T,22,40,2,2,0
453334,T,23,40,1,1,0
453400,OF,19,40,52,0,52
453400,OF,28,40,95,0,95
453400,OF,29,40,95,0,95
453400,OF,2A,40,1,1,0
453400,OF,39,40,95,0,95
453400,OF,49,40,95,0,95
453400,OF,4D,40,1,1,0
453400,OF,59,40,92,0,92
453400,OF,5A,40,95,0,95
453400,OF,69,40,95,0,95
453400,OF,6A,40,95,0,95
453400,OF,6C,40,52,52,0
453400,OF,79,40,95,0,95
453400,OF,7A,40,90,0,90
453400,OF,89,40,95,0,95
453400,OF,8A,40,95,0,95
453400,OF,41,40,2,2,0
453400,OF,51,40,1,1,0
453400,OF,60,40,1,1,0
453400,OF,70,40,1,1,0
453400,OF,33,40,1,1,0
453400,OF,73,40,1,1,0
453400,OF,75,40,1,1,0
453400,OF,82,40,1,1,0
453400,OF,83,40,1,1,0
453400,OF,86,40,1,1,0
