run_id,planning_time,voy_id,flow,area_no,size,planned_qty,status_name,objective_value
cbe79c980f13,2026-05-08T09:30:00,453334,OF,19,20,31,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,49,20,31,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,59,20,32,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,6A,20,31,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,79,20,31,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,89,20,32,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,10,20,6,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,11,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,12,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,14,20,4,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,16,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,21,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,22,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,23,20,8,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,24,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,26,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,30,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,31,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,32,20,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,33,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,53,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,63,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,72,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,73,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,76,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,80,20,1,OPTIMAL,73649.57700583554
