plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,79-SB06,79,61|63|65|67|69|71,25,453388_S016|1;453388_S055|12;453388_S058|3;453388_S060|5;453388_S061|2;453388_S064|1;453416_S043|1
small_six_bay_block,89-SB01,89,13|15|17|19|21|23,18,453308_S001|1;453308_S002|5;453308_S004|5;453308_S005|2;453308_S006|1;453308_S007|4
small_six_bay_block,89-SB02,89,25|27|29|31|33|35,14,453352_S001|1;453352_S002|1;453352_S003|4;453352_S004|2;453396_S012|2;453396_S013|4
small_six_bay_block,89-SB03,89,37|39|41|43|45|47,9,453352_S005|2;453352_S006|1;453396_S011|5;453396_S014|1
small_six_bay_block,89-SB04,89,49|51|53|55|57|59,44,453308_S003|11;453308_S007|9;453308_S008|1;453308_S009|2;453308_S010|5;453308_S011|5;453308_S017|2;453396_S011|9
small_six_bay_block,89-SB05,89,61|63|65|67|69|71,4,453396_S010|1;453396_S011|3
small_six_bay_block,8A-SB01,8A,01|03|05|07|09|11,9,453388_S070|6;453388_S071|2;453388_S072|1
small_six_bay_block,8A-SB02,8A,13|15|17|19|21|23,15,453388_S064|13;453388_S067|2
small_six_bay_block,8A-SB03,8A,25|27|29|31|33|35,21,453388_S067|10;453396_S017|2;454585_S032|4;454585_S035|5
small_six_bay_block,8A-SB04,8A,37|39|41|43|45|47,15,453388_S065|15
small_six_bay_block,8A-SB05,8A,49|51|53|55|57|59,8,453396_S015|1;453396_S016|1;454585_S001|1;454585_S002|1;454585_S033|3;454585_S035|1
small_six_bay_block,8A-SB06,8A,61|63|65|67|69|71,17,453388_S066|14;453388_S067|3
small_six_bay_block,E5-SB04,E5,43|45|47|49|51|53,3,453388_S023|3
