plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,6B-SB03,6B,25|27|29|31|33|35,16,453396_S022|1;453412_S011|1;453412_S013|1;453412_S014|1;453412_S018|4;453412_S019|2;453412_S020|1;453412_S022|1;453412_S025|1;453412_S031|2;453412_S032|1
small_six_bay_block,6B-SB04,6B,57|59|61|63|65|67,2,453396_S002|1;453396_S003|1
small_six_bay_block,89-SB01,89,13|15|17|19|21|23,12,453308_S003|8;453308_S012|1;453308_S017|3
small_six_bay_block,89-SB02,89,25|27|29|31|33|35,1,453308_S029|1
small_six_bay_block,89-SB04,89,49|51|53|55|57|59,15,453308_S003|1;453308_S007|1;453308_S010|5;453308_S011|1;453396_S018|2;453396_S020|5
small_six_bay_block,8A-SB01,8A,01|03|05|07|09|11,2,453396_S008|1;453396_S009|1
small_six_bay_block,8A-SB02,8A,13|15|17|19|21|23,5,454585_S009|2;454585_S032|2;454585_S034|1
small_six_bay_block,8A-SB03,8A,25|27|29|31|33|35,39,454585_S018|1;454585_S019|2;454585_S020|2;454585_S023|2;454585_S038|3;454585_S039|2;454585_S041|1;454710_S006|8;454710_S013|5;454710_S014|12;454710_S034|1
small_six_bay_block,8A-SB05,8A,49|51|53|55|57|59,16,453396_S001|1;453396_S003|1;453396_S004|5;453396_S005|3;453396_S007|3;454585_S023|2;454710_S009|1
small_six_bay_block,8B-SB01,8B,01|03|05|07|09|11,16,454710_S018|16
small_six_bay_block,8B-SB02,8B,13|15|17|19|21|23,31,454585_S021|3;454585_S023|1;454585_S027|5;454710_S003|2;454710_S004|2;454710_S005|1;454710_S007|3;454710_S008|2;454710_S009|3;454710_S010|2;454710_S011|4;454710_S012|3
small_six_bay_block,8B-SB03,8B,37|39|41|43|45|47,8,454585_S021|6;454710_S001|1;454710_S002|1
small_six_bay_block,8B-SB04,8B,49|51|53|55|57|59,13,454585_S018|2;454585_S021|1;454585_S027|10
small_six_bay_block,AB-SB01,AB,05|07|09|11|13|15,8,454585_S013|1;454585_S014|5;454585_S015|1;454585_S016|1
small_six_bay_block,E1-SB04,E1,43|45|47|49|51|53,5,454710_S033|1;454710_S035|1;454710_S036|2;454710_S037|1
small_six_bay_block,E9-SB04,E9,43|45|47|49|51|53,7,453352_S001|1;453352_S003|4;453352_S004|2
small_six_bay_block,E9-SB05,E9,55|57|59|61|63|65,1,453352_S002|1
small_six_bay_block,ED-SB01,ED,D9|E9|11|13|15|17,1,454585_S030|1
small_six_bay_block,ED-SB02,ED,19|21|23|25|27|29,5,454585_S038|1;454585_S040|1;454585_S041|1;454585_S042|2
small_six_bay_block,EE-SB01,EE,D9|E9|11|13|15|17,3,453396_S018|2;453396_S019|1
small_six_bay_block,EE-SB02,EE,19|21|23|25|27|29,3,453308_S026|2;453308_S028|1
