area_no,work_type,has_position,voy_id,planned_qty
62,T,1,453273,19
62,T,1,453307,19
62,T,1,453308,10
62,T,1,453324,12
62,T,1,453356,7
62,T,1,453388,4
62,T,1,453396,10
62,T,1,453412,18
62,T,1,453416,9
62,T,1,454548,19
62,T,1,454549,17
62,T,1,454585,5
62,T,1,454710,1
63,T,1,453250,21
63,T,1,453308,11
63,T,1,453324,11
63,T,1,453356,8
63,T,1,453388,3
63,T,1,453396,29
63,T,1,453412,9
63,T,1,453416,26
63,T,1,454549,27
63,T,1,454585,5
63,T,1,454710,1
64,T,1,453250,13
64,T,1,453273,162
64,T,1,453324,7
64,T,1,453352,13
64,T,1,453356,8
64,T,1,453396,4
64,T,1,453412,1
64,T,1,453416,3
64,T,1,454549,3
64,T,1,454710,1
65,T,1,453250,26
65,T,1,453307,104
65,T,1,453308,6
65,T,1,453324,41
65,T,1,453356,14
65,T,1,453388,6
65,T,1,453396,15
65,T,1,453412,8
65,T,1,453416,14
65,T,1,454548,145
65,T,1,454549,10
65,T,1,454585,1
65,T,1,454710,1
66,T,1,453250,10
66,T,1,453308,9
66,T,1,453324,12
66,T,1,453356,10
66,T,1,453388,9
66,T,1,453396,24
66,T,1,453412,16
66,T,1,453416,18
66,T,1,454549,8
66,T,1,454585,9
66,T,1,454710,1
67,T,1,453250,149
67,T,1,453308,1
67,T,1,453324,5
67,T,1,453356,3
67,T,1,453388,46
67,T,1,453396,2
67,T,1,453416,10
67,T,1,454549,2
67,T,1,454710,1
68,IZ,1,453250,5
68,IZ,1,453273,292
68,IZ,1,453307,18
68,IZ,1,453356,10
68,IZ,1,453396,1
68,IZ,1,453416,2
68,IZ,1,454549,5
68,IZ,1,454585,2
69,OF,1,453308,28
69,OF,1,453356,1
69,OF,1,453388,1
69,OF,1,454549,1
69,OF,1,454585,341
69,OF,1,454710,141
6A,OF,1,453250,146
6A,OF,1,453308,205
6B,OF,1,453396,275
6B,OF,1,453412,5
6C,OF,1,453250,113
6C,OF,1,453396,246
6D,OF,1,453308,5
6G,OF,1,453308,1
6G,OF,1,453324,1
6G,OF,1,453396,1
6H,OF,1,453250,1
6H,OF,1,453308,7
6H,OF,1,453396,4
6H,OF,1,453412,5
6H,OF,1,453416,1
6H,OF,1,454549,1
6K,OF,1,453308,8
6K,OF,1,453396,416
6K,OF,1,453412,3
70,OZ,1,453250,2
70,OZ,1,453308,7
70,OZ,1,453324,8
70,OZ,1,453352,1
70,OZ,1,453356,2
70,OZ,1,453388,2
70,OZ,1,453396,19
70,OZ,1,453412,13
70,OZ,1,453416,11
70,OZ,1,454549,10
70,OZ,1,454585,2
71,OZ,1,453250,11
71,OZ,1,453308,7
71,OZ,1,453324,15
71,OZ,1,453352,1
71,OZ,1,453356,5
71,OZ,1,453388,3
71,OZ,1,453396,25
71,OZ,1,453412,11
71,OZ,1,453416,9
71,OZ,1,454549,11
71,OZ,1,454585,1
71,OZ,1,454710,7
72,T,1,453250,3
72,T,1,453273,13
72,T,1,453307,13
72,T,1,453308,11
72,T,1,453324,7
72,T,1,453356,3
72,T,1,453388,5
72,T,1,453396,20
72,T,1,453412,16
72,T,1,453416,16
72,T,1,454548,13
72,T,1,454549,11
72,T,1,454585,5
73,T,1,453250,11
73,T,1,453273,15
73,T,1,453307,15
73,T,1,453308,8
73,T,1,453324,23
73,T,1,453356,4
73,T,1,453396,11
73,T,1,453412,17
73,T,1,453416,2
73,T,1,454548,15
73,T,1,454549,8
73,T,1,454585,9
73,T,1,454710,2
74,T,1,453250,20
74,T,1,453273,150
74,T,1,453308,3
74,T,1,453324,6
74,T,1,453352,7
74,T,1,453356,9
74,T,1,453396,4
74,T,1,453412,3
74,T,1,453416,4
74,T,1,454549,4
75,T,1,453250,8
75,T,1,453307,265
75,T,1,453308,5
75,T,1,453324,15
75,T,1,453356,8
75,T,1,453388,11
75,T,1,453396,10
75,T,1,453412,2
75,T,1,453416,5
75,T,1,454549,2
75,T,1,454585,6
76,T,1,453250,12
76,T,1,453308,19
76,T,1,453324,12
76,T,1,453356,1
76,T,1,453396,70
76,T,1,453412,11
76,T,1,453416,11
76,T,1,454549,7
76,T,1,454585,5
76,T,1,454710,2
77,T,1,453250,179
77,T,1,453308,4
77,T,1,453324,3
77,T,1,453356,2
77,T,1,453388,22
77,T,1,453396,2
77,T,1,453412,3
77,T,1,454549,2
78,IZ,1,453250,4
78,IZ,1,453308,9
78,IZ,1,453324,15
78,IZ,1,453356,4
78,IZ,1,453396,12
