voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453307,OZ,11,20,26,0.0,26.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453307,T,83,20,171,0.0,171.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,IF,7B,20,2,0.0,2.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,13,20,279,0.0,279.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,32,20,440,0.0,440.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,33,20,392,0.0,392.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,42,20,331,0.0,331.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,53,20,43,0.0,43.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454548,T,83,20,261,0.0,261.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,19,40,41,1.0,40.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,29,40,161,67.0,94.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,2A,40,22,6.0,16.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,2B,40,6,4.0,2.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,39,40,9,0.0,9.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,49,40,93,1.0,92.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,5A,40,87,0.0,87.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,6A,40,161,104.0,57.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,59,40,245,230.0,15.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,69,40,2,1.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,6A,40,198,187.0,11.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
