voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453308,OZ,EB,3,40,
453308,OZ,EC,4,40,
453308,OZ,ED,1,40,
453308,T,14,3,40,
453308,T,15,1,20,
453308,T,16,5,40,
453308,T,17,1,20,
453308,T,17,4,40,
453308,T,22,4,20,
453308,T,23,3,20,
453308,T,23,1,40,
453308,T,26,6,20,
453308,T,26,2,40,
453308,T,27,3,20,
453308,T,27,3,40,
453308,T,32,3,20,
453308,T,32,2,40,
453308,T,33,1,40,
453308,T,42,1,40,
453308,T,43,1,40,
453308,T,45,1,20,
453308,T,46,1,40,
453308,T,47,1,20,
453308,T,47,1,40,
453308,T,52,8,40,
453308,T,53,6,20,
453308,T,53,1,40,
453308,T,62,2,40,
453308,T,63,1,20,
453308,T,63,5,40,
453308,T,72,6,40,
453308,T,73,1,40,
453308,T,76,6,40,
453308,T,82,1,40,
453308,T,E1,2,40,
453308,T,E2,2,40,
453308,T,E4,3,40,
453308,T,E5,2,40,
453308,T,E7,2,40,
453308,T,E8,6,40,
453308,T,E9,4,40,
453308,T,EA,17,40,
453308,T,EB,6,40,
453308,T,EC,17,40,
453308,T,EE,2,40,
453324,OF,19,4,20,
453324,OF,19,262,40,
453324,OF,1A,11,20,
453324,OF,1A,39,40,
453324,OF,1C,74,40,
453324,OF,1D,1,40,
453324,OF,28,47,20,
453324,OF,28,243,40,
453324,OF,29,3,40,
453324,OF,2B,8,20,
453324,OF,2B,120,40,
453324,OF,2C,6,20,
453324,OF,2C,20,40,
453324,OF,2K,40,40,
453324,OF,38,1,20,
453324,OF,38,10,40,
453324,OF,39,107,20,
453324,OF,39,232,40,
453324,OF,3B,1,40,
453324,OF,3G,1,40,
453324,OF,3H,1,20,
453324,OF,3H,1,40,
453324,OF,3J,1,40,
453324,OF,3K,1,40,
453324,OF,49,1,20,
453324,OF,49,17,40,
453324,OF,5D,1,20,
453324,OF,9D,2,40,
453324,OF,AC,28,40,
453324,OF,AD,2,40,
453324,OF,E2,1,20,
453324,OF,E2,3,40,
453324,OF,E4,3,40,
453324,OF,E5,3,40,
453324,OF,E6,18,40,
453324,OF,E7,14,40,
453324,OF,E9,2,40,
453324,OF,EA,1,20,
453324,OF,EA,2,40,
453324,OF,EB,2,40,
453324,OF,EC,1,20,
453324,OF,EC,5,40,
453324,OF,ED,19,40,
453324,OF,EE,42,40,
453324,OZ,10,1,20,
453324,OZ,10,1,40,
453324,OZ,12,1,40,
453324,OZ,21,2,40,
453324,OZ,30,6,40,
453324,OZ,31,2,40,
453324,OZ,40,3,40,
453324,OZ,41,2,40,
453324,OZ,60,1,20,
453324,OZ,61,1,20,
453324,OZ,70,1,20,
453324,OZ,70,1,40,
453324,OZ,81,2,20,
453324,OZ,81,1,40,
453324,OZ,E1,1,20,
453324,OZ,E2,3,40,
453324,OZ,E3,2,40,
453324,OZ,E4,1,20,
453324,OZ,E4,10,40,
453324,OZ,E5,1,20,
453324,OZ,E5,7,40,
453324,OZ,E8,1,20,
453324,OZ,E8,1,40,
453324,OZ,E9,23,40,
453324,OZ,EA,1,20,
453324,OZ,EA,10,40,
453324,OZ,EB,16,40,
453324,OZ,EC,1,20,
453324,OZ,EC,7,40,
453324,T,13,5,40,
453324,T,14,3,40,
453324,T,15,2,20,
453324,T,16,2,40,
453324,T,17,3,40,
453324,T,22,2,20,
453324,T,22,4,40,
453324,T,23,1,20,
453324,T,23,4,40,
453324,T,24,5,20,
453324,T,24,5,40,
453324,T,27,2,40,
453324,T,32,1,40,
453324,T,33,2,20,
453324,T,33,8,40,
453324,T,42,2,40,
453324,T,43,8,40,
