plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,row_no,row_allocation,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
small,453250,453250_S021,document,OF,USNYC,40,HQ,1,False,NORMAL,29,01,02,29|01:02:4|29|03:02:4,29-SB01,01|03|05|07|09|11,28,4,HQ,40,1,USNYC,
small,453250,453250_S022,document,OF,USNYC,40,HQ,2,False,NORMAL,29,01,03,29|01:03:2|29|03:03:2,29-SB01,01|03|05|07|09|11,28,2,HQ,40,2,USNYC,
small,453250,453250_S023,document,OF,USNYC,40,HQ,3,False,NORMAL,29,01,03,29|01:03:2|29|03:03:2,29-SB01,01|03|05|07|09|11,28,2,HQ,40,3,USNYC,
small,453250,453250_S024,document,OF,USORF,40,HQ,2,False,NORMAL,6A,01,06,6A|01:06:1|6A|03:06:1,6A-SB01,01|03|05|07|09|11,21,1,HQ,40,2,USORF,
small,453250,453250_S025,document,OF,USORF,40,HQ,3,False,NORMAL,6A,01,06,6A|01:06:1|6A|03:06:1,6A-SB01,01|03|05|07|09|11,21,1,HQ,40,3,USORF,
small,453250,453250_S026,document,OF,USORF,40,HQ,4,False,NORMAL,6A,09,01,6A|09:01:1|6A|11:01:1,6A-SB01,01|03|05|07|09|11,21,1,HQ,40,4,USORF,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,23,10,E2|23:10:1,E2-SB02,23|25|27|29|31|33,15,1,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,01,E2|B9:01:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,02,E2|B9:02:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,03,E2|B9:03:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,04,E2|B9:04:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,05,E2|B9:05:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,06,E2|B9:06:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,07,E2|B9:07:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,08,E2|B9:08:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,09,E2|B9:09:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,B9,10,E2|B9:10:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,01,E2|C5:01:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,03,E2|C5:03:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,05,E2|C5:05:1,,,0,1,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,07,E2|C5:07:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,08,E2|C5:08:1,,,0,1,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,09,E2|C5:09:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,C5,10,E2|C5:10:1,,,0,1,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,01,E2|D3:01:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,02,E2|D3:02:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,03,E2|D3:03:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,04,E2|D3:04:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,05,E2|D3:05:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,06,E2|D3:06:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,07,E2|D3:07:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,08,E2|D3:08:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,09,E2|D3:09:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S001,document,IE,CNSHA,20,PQ,1,False,NORMAL,E2,D3,10,E2|D3:10:2,,,0,2,PQ,20,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,12,37,02,12|37:02:1|12|39:02:1,12-SB01,09|11|23|37|39|47,2,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,12,47,06,12|47:06:1|12|49:06:1,12-SB01,09|11|23|37|39|47,2,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,05,01,21|05:01:1|21|07:01:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,05,02,21|05:02:1|21|07:02:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,05,03,21|05:03:2|21|07:03:2,21-SB01,05|07|09|11|33|35,8,2,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,05,04,21|05:04:1|21|07:04:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,09,04,21|09:04:1|21|11:04:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,33,02,21|33:02:1|21|35:02:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,21,33,05,21|33:05:1|21|35:05:1,21-SB01,05|07|09|11|33|35,8,1,HQ,40,1,CNSHA,
