event_time,voy_id,area_no,size,planned_qty,distance,stage,status
2026-05-08 09:30:00,453334,28,20,7,6.357142857142858,first_70,planned
2026-05-08 09:30:00,453334,38,20,29,5.357142857142858,first_70,planned
2026-05-08 09:30:00,453334,79,20,34,251.3571428571429,first_70,planned
2026-05-08 09:30:00,453400,28,20,53,3.5,first_70,planned
2026-05-08 09:30:00,453334,38,40,1,5.357142857142858,first_70,planned
2026-05-08 09:30:00,453334,79,40,58,251.3571428571429,first_70,planned
2026-05-08 09:30:00,453400,19,40,15,254.5,first_70,planned
2026-05-08 09:30:00,453400,28,40,121,3.5,first_70,planned
2026-05-08 09:30:00,453400,5A,40,105,500.5,first_70,planned
2026-05-08 09:30:00,453400,79,40,5,251.5,first_70,planned
