plan_level,voyage_id,group_id,size,big_plan_size,height,status,port,operator,ctype,special,business_special,is_large_attribute,attribute_quantity_threshold,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,yard_block,yard_block_bays,yard_block_bay_count,yard_block_boundary_adjusted,voyage_area_block_count,voyage_area_block_span,voyage_area_block_gap_count,bay_no,is_fallback_bay,fallback_reason,plan_reason,planned_boxes,group_demand
small,453334,453334_G012,40,40,HQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,13,False,,large_attribute_to_bay;large_attribute,2,10
small,453334,453334_G012,40,40,HQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,23,False,,large_attribute_to_bay;large_attribute,3,10
small,453334,453334_G012,40,40,HQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,53,False,,large_attribute_to_bay;large_attribute,3,10
small,453334,453334_G012,40,40,HQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,57,False,,large_attribute_to_bay;large_attribute,2,10
small,453334,453334_G017,40,40,HQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,13,False,,large_attribute_to_bay;large_attribute,2,13
small,453334,453334_G017,40,40,HQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,19,False,,large_attribute_to_bay;large_attribute,2,13
small,453334,453334_G017,40,40,HQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,23,False,,large_attribute_to_bay;large_attribute,2,13
small,453334,453334_G017,40,40,HQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,61,False,,large_attribute_to_bay;large_attribute,5,13
small,453334,453334_G017,40,40,HQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B06,"65,67,69,71",4,False,6,6,0,69,False,,large_attribute_to_bay;large_attribute,2,13
small,453400,453400_G004,20,20,PQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B01,"01,03,05,07,09,11",6,False,6,6,0,11,True,existing_reefer_container,large_attribute_to_bay;large_attribute,1,16
small,453400,453400_G004,20,20,PQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,45,False,,large_attribute_to_bay;large_attribute,6,16
small,453400,453400_G004,20,20,PQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,47,False,,large_attribute_to_bay;large_attribute,6,16
small,453400,453400_G004,20,20,PQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B06,"61,63",2,False,6,6,0,61,True,existing_reefer_container,large_attribute_to_bay;large_attribute,3,16
small,453400,453400_G006,20,20,PQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,19,False,,large_attribute_to_bay;large_attribute,4,14
small,453400,453400_G006,20,20,PQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,21,False,,large_attribute_to_bay;large_attribute,1,14
small,453400,453400_G006,20,20,PQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,6,6,0,31,False,,large_attribute_to_bay;large_attribute,6,14
small,453400,453400_G006,20,20,PQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,53,False,,large_attribute_to_bay;large_attribute,3,14
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B04,"37,39,41,43,45,47,49",7,True,3,3,0,47,False,,large_attribute_to_bay;large_attribute,5,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B05,"51,53,55,57",4,False,3,3,0,55,False,,large_attribute_to_bay;large_attribute,1,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,True,19,19-B05,"51,53,55,57",4,False,3,3,0,57,False,,large_attribute_to_bay;large_attribute,2,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,15,False,,large_attribute_to_bay;large_attribute,4,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,17,False,,large_attribute_to_bay;large_attribute,7,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,6,6,0,29,False,,large_attribute_to_bay;large_attribute,5,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,37,True,existing_reefer_container,large_attribute_to_bay;large_attribute,4,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,41,True,existing_reefer_container,large_attribute_to_bay;large_attribute,3,58
small,453400,453400_G010,40,40,HQ,OF,DEWVN,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,53,False,,large_attribute_to_bay;large_attribute,2,58
