plan_level,voyage_id,group_id,size,big_plan_size,height,status,port,operator,ctype,special,business_special,is_large_attribute,attribute_quantity_threshold,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,yard_block,yard_block_bays,yard_block_bay_count,yard_block_boundary_adjusted,voyage_area_block_count,voyage_area_block_span,voyage_area_block_gap_count,bay_no,is_fallback_bay,fallback_reason,plan_reason,planned_boxes,group_demand
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,55,False,,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B02,"13,15,17,19,21,23,25,27,29,31,33,35",12,True,4,4,0,17,False,,large_attribute_to_bay;large_attribute,3,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B02,"13,15,17,19,21,23,25,27,29,31,33,35",12,True,4,4,0,19,False,,large_attribute_to_bay;large_attribute,3,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B03,"37,39,41,43,45,47,49,51,53,55,57",11,True,4,4,0,43,False,,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B03,"37,39,41,43,45,47,49,51,53,55,57",11,True,4,4,0,49,False,,large_attribute_to_bay;large_attribute,5,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B04,"59,61,63,65,67,69,71",7,True,4,4,0,65,False,,large_attribute_to_bay;large_attribute,3,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B04,"59,61,63,65,67,69,71",7,True,4,4,0,69,False,,large_attribute_to_bay;large_attribute,4,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,1,1,0,13,False,,large_attribute_to_bay;large_attribute,2,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,1,1,0,19,False,,large_attribute_to_bay;large_attribute,2,66
small,453400,453400_G011,40,40,HQ,OF,DEWVN,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,1,1,0,23,False,,large_attribute_to_bay;large_attribute,1,66
small,453400,453400_G012,40,40,HQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B04,"37,39,41,43,45",5,True,6,6,0,41,True,existing_reefer_container,large_attribute_to_bay;large_attribute,6,21
small,453400,453400_G012,40,40,HQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,53,False,,large_attribute_to_bay;large_attribute,6,21
small,453400,453400_G012,40,40,HQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,57,False,,large_attribute_to_bay;large_attribute,2,21
small,453400,453400_G012,40,40,HQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B01,"01,03,05,07,09,11",6,False,4,4,0,01,False,,large_attribute_to_bay;large_attribute,4,21
small,453400,453400_G012,40,40,HQ,OF,DEBRV,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B04,"59,61,63,65,67,69,71",7,True,4,4,0,65,False,,large_attribute_to_bay;large_attribute,3,21
small,453400,453400_G016,40,40,HQ,OF,MATAT,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B01,"01,03,05,07,09,11",6,False,6,6,0,01,True,existing_reefer_container,large_attribute_to_bay;large_attribute,3,10
small,453400,453400_G016,40,40,HQ,OF,MATAT,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B01,"01,03,05,07,09,11",6,False,6,6,0,05,True,existing_reefer_container,large_attribute_to_bay;large_attribute,2,10
small,453400,453400_G016,40,40,HQ,OF,MATAT,HLC,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,13,False,,large_attribute_to_bay;large_attribute,5,10
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,13,False,,large_attribute_to_bay;large_attribute,3,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B02,"13,15,17,19,21,23",6,False,6,6,0,15,False,,large_attribute_to_bay;large_attribute,3,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,6,6,0,29,False,,large_attribute_to_bay;large_attribute,7,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B01,"01,03,05,07,09,11",6,False,4,4,0,01,False,,large_attribute_to_bay;large_attribute,8,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B01,"01,03,05,07,09,11",6,False,4,4,0,03,False,,large_attribute_to_bay;large_attribute,3,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B02,"13,15,17,19,21,23,25,27,29,31,33,35",12,True,4,4,0,15,False,,large_attribute_to_bay;large_attribute,5,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B03,"37,39,41,43,45,47,49,51,53,55,57",11,True,4,4,0,49,False,,large_attribute_to_bay;large_attribute,3,37
small,453400,453400_G018,40,40,HQ,OF,MYTPP,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B04,"59,61,63,65,67,69,71",7,True,4,4,0,69,False,,large_attribute_to_bay;large_attribute,5,37
small,453400,453400_G019,40,40,HQ,OF,MAPTM,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,6,6,0,49,False,,large_attribute_to_bay;large_attribute,5,12
small,453400,453400_G019,40,40,HQ,OF,MAPTM,MSK,GP,NORMAL,NORMAL,True,10,2026-05-08 16:00:00,2026-05-09 16:00:00,True,True,5A,5A-B04,"59,61,63,65,67,69,71",7,True,4,4,0,65,False,,large_attribute_to_bay;large_attribute,7,12
