voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453308,OF,69,40,16,1.0,15.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453324,OF,39,40,233,232.0,1.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453324,OF,49,40,11,0.0,11.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453352,OF,28,40,11,0.0,11.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,19,40,44,6.0,38.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,28,40,38,13.0,25.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,29,40,179,98.0,81.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,38,40,21,3.0,18.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,39,40,8,1.0,7.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,3A,40,3,2.0,1.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,4A,40,157,85.0,72.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,69,40,157,0.0,157.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,6A,40,92,0.0,92.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,8A,40,144,0.0,144.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453396,OF,29,40,35,2.0,33.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453396,OF,89,40,24,10.0,14.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453412,OF,49,40,173,6.0,167.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,2A,40,193,59.0,134.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,38,40,193,189.0,4.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,4A,40,94,5.0,89.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,79,40,158,0.0,158.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,89,40,89,0.0,89.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454447,OF,5A,40,7,0.0,7.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454549,OF,49,40,4,0.0,4.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,38,40,7,0.0,7.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,59,40,95,1.0,94.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,69,40,173,146.0,27.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,7A,40,27,7.0,20.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454710,OF,79,40,91,0.0,91.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,IF,7B,40,61,0.0,61.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,IZ,68,40,143,0.0,143.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E1,40,289,0.0,289.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E2,40,163,0.0,163.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E3,40,288,0.0,288.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E4,40,181,0.0,181.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E5,40,223,0.0,223.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E6,40,230,0.0,230.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,E7,40,218,0.0,218.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,EA,40,192,0.0,192.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,10,40,18,0.0,18.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,OZ,11,40,33,0.0,33.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,22,40,41,0.0,41.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,32,40,224,0.0,224.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,43,40,83,0.0,83.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,55,40,212,0.0,212.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,62,40,19,0.0,19.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,72,40,13,0.0,13.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,73,40,15,0.0,15.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,74,40,95,0.0,95.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453273,T,83,40,179,0.0,179.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,IF,7B,40,104,0.0,104.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,IF,7G,40,160,0.0,160.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,IZ,68,40,17,0.0,17.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,E2,40,23,0.0,23.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,E8,40,787,0.0,787.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,E9,40,664,0.0,664.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,EB,40,226,0.0,226.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,EC,40,163,0.0,163.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,ED,40,160,0.0,160.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,EE,40,213,0.0,213.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,10,40,18,0.0,18.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,OZ,11,40,46,0.0,46.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,22,40,41,0.0,41.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,54,40,46,0.0,46.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,62,40,19,0.0,19.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,64,40,113,0.0,113.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,72,40,13,0.0,13.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,73,40,15,0.0,15.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453307,T,85,40,283,0.0,283.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,13,40,31,0.0,31.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,15,40,169,0.0,169.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,22,40,41,0.0,41.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454548,T,24,40,45,0.0,45.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
