area_no,work_type,has_position,voy_id,planned_qty
42,T,1,453412,10
42,T,1,453416,6
42,T,1,454447,5
42,T,1,454548,359
42,T,1,454585,14
43,T,1,453308,12
43,T,1,453324,8
43,T,1,453356,1
43,T,1,453396,31
43,T,1,453412,11
43,T,1,453416,21
43,T,1,454447,2
43,T,1,454548,188
43,T,1,454585,27
44,T,1,453307,140
44,T,1,453324,3
44,T,1,453352,13
44,T,1,453356,1
44,T,1,453396,4
44,T,1,453412,3
44,T,1,453416,2
44,T,1,454585,1
45,T,1,453308,1
45,T,1,453324,26
45,T,1,453352,11
45,T,1,453356,5
45,T,1,453388,4
45,T,1,453396,15
45,T,1,453412,19
45,T,1,453416,3
45,T,1,454585,1
46,T,1,453308,2
46,T,1,453324,3
46,T,1,453356,1
46,T,1,453396,57
46,T,1,453412,59
46,T,1,453416,5
46,T,1,454585,8
47,T,1,453308,4
47,T,1,453324,11
47,T,1,453356,12
47,T,1,453388,1
47,T,1,453396,10
47,T,1,453412,18
47,T,1,453416,2
47,T,1,454585,2
48,IZ,1,453308,2
48,IZ,1,453324,2
48,IZ,1,453396,4
48,IZ,1,453412,2
48,IZ,1,453416,4
48,IZ,1,454585,2
49,OF,1,453308,3
49,OF,1,453324,3
49,OF,1,453356,1
49,OF,1,453388,133
49,OF,1,453412,246
4A,OF,1,453388,183
4A,OF,1,453416,214
4B,OF,1,453388,9
4B,OF,1,453412,11
4B,OF,1,454447,1
4C,OF,1,453412,34
4C,OF,1,454447,30
4D,OF,1,453396,3
4D,OF,1,453416,278
4D,OF,1,454447,1
4E,OF,1,453412,436
4J,OF,1,453308,1
51,OZ,1,453308,5
51,OZ,1,453324,6
51,OZ,1,453352,2
51,OZ,1,453356,8
51,OZ,1,453396,33
51,OZ,1,453412,15
51,OZ,1,453416,4
51,OZ,1,454585,12
52,T,1,453308,15
52,T,1,453324,17
52,T,1,453356,8
52,T,1,453388,2
52,T,1,453396,19
52,T,1,453412,20
52,T,1,453416,2
52,T,1,454447,2
52,T,1,454548,301
52,T,1,454585,16
53,T,1,453307,251
53,T,1,453308,14
53,T,1,453324,4
53,T,1,453356,2
53,T,1,453388,3
53,T,1,453396,30
53,T,1,453412,10
53,T,1,453416,24
53,T,1,454585,3
54,T,1,453273,135
54,T,1,453308,1
54,T,1,453324,3
54,T,1,453352,9
54,T,1,453356,7
54,T,1,453388,3
54,T,1,453396,2
54,T,1,453412,5
54,T,1,453416,1
54,T,1,454585,4
55,T,1,453273,219
55,T,1,453308,1
55,T,1,453324,14
55,T,1,453356,10
55,T,1,453388,1
55,T,1,453396,6
55,T,1,453412,2
55,T,1,453416,4
55,T,1,454447,1
55,T,1,454585,9
57,T,1,453352,3
57,T,1,453388,1
57,T,1,453396,1
57,T,1,453416,1
58,IZ,1,453324,1
58,IZ,1,453356,4
59,OF,1,453308,328
59,OF,1,453396,14
59,OF,1,454585,218
5A,OF,1,453352,29
5A,OF,1,453416,195
5C,OF,1,453308,368
5C,OF,1,453396,10
5D,OF,1,453324,1
5D,OF,1,453416,178
5D,OF,1,454447,51
5E,OF,1,453412,301
5F,OF,1,453412,334
60,OZ,1,453308,3
60,OZ,1,453324,25
60,OZ,1,453352,2
60,OZ,1,453356,3
60,OZ,1,453396,13
60,OZ,1,453412,26
60,OZ,1,453416,29
60,OZ,1,454585,2
61,OZ,1,453308,17
61,OZ,1,453324,8
61,OZ,1,453352,4
61,OZ,1,453356,11
61,OZ,1,453388,8
61,OZ,1,453396,35
61,OZ,1,453412,14
